name,address,lat,lng,scale,contact,description,source,tags
Le Contrepied,"10 basse rue, 35250 SAINT-GERMAIN-SUR-ILLE",48.2460793,-1.6550361,,http://www.lecontrepied.org,"Le Contrepied, c’est une partie de l’équipe de la SCOP Le Pavé, créée en 2007 et dissoute fin 2014.",misc,education
Ferme de la Mhotte,"Ferme de la Mhotte, 03210 Saint Menoux",46.5741919,3.1112334,,http://www.fermedelamhotte.fr/,"La Ferme de La Mhotte est un groupe d’habitants et d’actifs qui organisent ensemble leurs usages pour faire émerger un projet social évolutif à la croisée du culturel, de l’agricole et du pédagogique.",misc,"object creation"
La Fée Nadou,"La Cantine, 30530 L’Affenadou",44.2466921,4.0494484,city,http://www.lafeenadou.com,"La Fée Nadou, association de la loi 1901, site et lieu de résidence artistique basée sur la commune de Portes dans le village de l’Affenadou, accueille compagnies et artistes de tous horizons pour un moment de création, d’échange et de rencontre.",misc,creation
Maison de la grève,,48.1209551,-1.6771317,,,https://maisondelagreve.boum.org/ http://voyageurs.en-transition.fr/wp-content/uploads/2014/11/Screenshot-11112014-083832-PM.png,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Squat (éphémère),,44.825791100000004,-0.5588787000000366,,,"Squat (éphémère) dans la rue Bergonie. C’est à Bègles près de Bordeaux, et il y a un drapeau de pirates !",citoy_untitled(seemsFromVozdelViento),#icon-503-DB4436
Afrika Ranch,,15.921939999999998,-16.399440000000027,,,"ferme école écologique à Rao au SENEGAL: avec une école en son sein. La terre est un trésor! déjà plus de 1000 arbres plantés: si vous êtes dans la région de saint louis, n’hésitez pas: vous y serez les bienvenus!",citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
La Ferblanterie,,50.6134256,3.06322380000006,,,"La Ferblanterie – Collectifs d’artistes et artisans partageant atelier, lieu de vie, évènements, créations, expérimentations…. en asso collégiale autogérée. un lieu pour inventer d’autres possibles.<br><br>16, rue Abélard 59000 LILLE<br>http://laferblanterie.org",citoy_untitled(seemsFromVozdelViento),#icon-503-E6EEA3
Fabrique artistique,,43.9492679,2.2113349999999627,,,"http://la.laiterie.overblog.com/   Ancienne laiterie réaménagée, par les soins d'artistes passionnés et de tous les fêlés qui trouvent ça cool, en lieu de pratiques artistiques (accueil de résidences, stages, cours hebdomadaires, événements).<br>Acquise en 2011, tous les travaux sont réalisés par des gens bénévoles. A l'heure actuelle : un studio d'enregistrement, une salle de répétition, un grand atelier de bricolage, un foyer-cuisine, 1 dortoir de 4 lits, 2 caravanes (dont une avec douche).<br>A venir : cuisine collective, salon, salle de bain, atelier couture, salle de réunion, studio photo/cinéma, dortoirs.<br>Jusqu'à présent, fonctionnement en autogestion. Bientôt un appel à financement participatif.<br><br>En ce moment, 8 personnes habitent sur place, accueillant avec plaisir les gens de passage, ceux qui veulent filer la main ou simplement faire une étape non loin d'Albi.",citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
"From: Elcóaz, Urraul Alto, España",,42.836692,-1.236484,,http://voyageurs.en-transition.fr/2012/07/17/dans-les-pyrenees-jai-fait-connaissance-avec-des-neo-hippies/,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
"De : Linières-Bouton, France",,47.459666,0.077591,,http://voyageurs.en-transition.fr/2011/12/26/esthetique-communaute-et-generations-futures/ ,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
"Terre & Humanisme, Mas de Beaulieu",,44.463066,4.203129,,,http://www.terre-humanisme.org/<br> Agro-écologie<br>Bénévolat<br><br>Association Terre & Humanisme<br>Mas de Beaulieu BP 19<br>07 230 LABLACHERE<br> ,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
"La Ferme des Enfants, Hameau du Buis",,44.412201,4.219608,,,Écoconstruction<br>École alternative (méthode Montesorri)<br>Écolieu intergénérationnel<br>Habitat partagé<br>Chantier participatif<br><br>Hameau des Buis<br>Chaulet - Casteljau<br>F07230 Lablachère<br>00 33 (0)4 75 35 09 97<br>ecole@la-ferme-des-enfants.com<br>http://www.la-ferme-des-enfants.com/>http://www.hameaudesbuis.com/>,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
Chenaud,,45.218806,0.10320500000000002,,http://leplus.nouvelobs.com/contribution/546557-vivre-sans-argent-une-famille-change-de-vie-en-ouvrant-les-portes-de-sa-ferme.html,-,citoy_untitled(seemsFromVozdelViento),#icon-503-FFFFFF
