id,count
0876f438-96a7-4f2a-a76d-41088558bd7d,32
1edc1dab-0aee-48d9-b1a3-2e5f7e0bc2a5,245
6b0fd895-6e6c-445d-a35d-4e637d21f2a2,397
35473b33-9f00-4169-83bb-5ab818508a30,13
3014426a-1594-46da-9151-51d55625ddd8,21
b03be492-7f9b-4e6d-9d9f-8708743d8c08,58
ad11ba21-2199-41a9-8134-06a6883513d6,52
b9c5c538-2883-407e-b62c-c721231f1396,5
3d8bbec1-1d85-4bc3-8dfa-01935497fb9a,4053
fdfdac3a-dfb6-4d38-929b-df761995ae95,1743
5b314ea8-05f7-4a8f-87d6-c80ed5246800,4
f25728d0-2c61-47d2-9f1b-0cdd648fe42f,5
9777e510-8bd6-48ff-bc52-1be21220194c,2269
df48875c-6c32-4bc0-9280-a1813bdacdd9,13
af98797e-3a05-4c83-b757-8c8ae8226e88,4
c3a5f6da-074c-454b-9ca2-80a76bdf53c0,121
35ca4253-5cee-470f-a092-a33407b18fdb,193
8a6998aa-222c-417b-a6ca-b9fdf6f8d3fb,101
edc1ac2b-33e0-4265-9886-299d38306163,7
61466114-e3ff-4d24-8fcd-3cc2e533dfec,358
c75493a2-83c3-4896-a6bc-a66494a0e363,5
3dc579d9-4c6b-4d99-8c2a-9ee897d7c79b,985
4a5a6422-a72d-4b9a-a140-4e1bf5fa84af,13
944917b1-b27c-41b9-b164-92c0e9a9d78f,7
448f0428-71b8-4d10-a6ff-402d958f2ce5,9
374f733e-2090-4f60-b3c4-a9bdc50ea373,19
769feea4-92f2-407e-b78f-fb3223c474f6,21
42813bd3-6aca-49c5-b714-38fd802f8b68,5
fd49e477-873d-4292-a092-2efe6128ec5a,879
f19b13ac-c50d-4a76-96ba-d015f252d700,9
f21f8a58-2417-4076-b9a0-e87e92030132,10
a29ff907-ab94-44ab-8c14-34ba9d580661,9
fd7366eb-12ca-42bb-ac19-b6077bb59ca0,136
f3ba9924-94a6-45e8-9ae2-6ac31b5049d4,13
eee63a95-93c3-4b7a-8693-77e21210fc9b,9
ce257995-2ea7-4348-915c-99b36951b80e,65
75fbe2bb-0290-4bf2-ba1e-3fe31267c12f,148
16512366-76c7-49a3-82c8-8c96ca4eb53d,5
a06406a4-10e2-4cb1-9826-ca46e4005eee,1933
af666f90-8408-4956-9ae4-23895fccc658,10
80b3fdbd-0df1-4962-9b4b-30dba86f291b,1392
3635826e-f54a-40d6-a5cf-35de906f6c32,40
30276d5d-b051-4498-b885-e3ae0f137c7d,466
d2e94f63-7f70-430d-a74c-b9a387a92c17,49
22400b67-fa9f-4926-ab26-3d58ceb5a9fe,13
a7897274-8193-48f4-9295-fd83e701ee91,9
c799d146-a02a-411c-9bb7-0c0f367cf2bf,7
45cde08a-c535-47f5-957c-a5cd80dd80ad,5
47bd0e36-8c9e-4c2c-93da-b4b39094668a,2121
b6f569d8-c587-4b14-a45c-ea06e0723f72,25
d1ad62e0-8366-4219-8994-28221ee342e3,61
2139e7db-b323-4df6-8b73-28a3dd98f8a3,25
0062129c-fd7e-4c1f-a3c7-4ede520f109f,49
49adcbf1-30e9-4a98-a591-9adcc19f41e9,13
f6230bc1-511d-4a8f-8f8e-0fdac6dd496b,4
ae6debbf-40bc-4312-90a8-e23762bd22c4,25
4316da15-e87f-479a-8541-228865e5989a,4
b133681b-eb74-4831-a4be-37ffcb101c6f,40
