id,count
db12f509-d5c3-4c95-87f0-207f529e217f,7
75874437-81c8-4d78-83a5-58ef2f85451a,9
3c2ffcbb-19c3-440f-8e7e-4f87e181a4cd,19
ef60a85f-db1b-48ee-8660-dfa7a9802e8e,21
73ff42eb-3fd2-417b-808a-1d3e8bb60311,25
0721d0ba-f709-4098-acb4-b7231278d588,13
a315e0d5-84ed-43d6-8d0e-c76a2826b004,5
10353c51-d348-4cdd-b955-9d4379232460,5
00a2a1e8-70bc-42f8-b920-1bad205b082d,13
e08bf1d1-ac8b-4711-9f76-d4d249323d84,19
4620991c-5cf3-435a-8cfc-686939b19a44,21
42622ce7-0226-47d9-9b47-acd11a7fee50,13
3811f72e-3fa2-4c48-b152-681b4d4e7a1c,19
