id,count
9db2ef99-881c-4706-bce6-85d5d5df29c7,11
be4ba82c-d76a-477c-93a6-640baf51a029,11
683ca307-4edd-409f-8829-73137b9dd49a,9
16f46209-7642-4d82-a3cb-51507707ab42,3
9025b720-3878-40bd-9748-5da70d052437,3
a0bb1f09-ee79-4f15-9ff1-478f3f1e3ed9,7
e0bed22e-2f1e-4461-9924-3f4dcebe62f4,5
ac3b19d4-9137-412b-ab9c-33a2c96c9039,89
63860b87-1b78-4317-b171-f9526557bbf4,10
d2062ed2-d1cb-4181-aaa6-713beedfc51a,65
0f305673-900b-41cf-8a30-3d3c3fb36177,19
4db6c047-c45d-4486-81dd-b590f743bc46,13
c273a155-7cca-49ac-9bc0-7697bfc98335,5
9f253f8a-4f7b-44b8-99e4-f57ce72f2c5d,4
d2e5c7e1-2929-4b06-975a-d6108abd3762,13
