name,address,lat,lng,scale,contact,web,description,source,tags
Le Frigo,,43.9292,2.1469,,,,"Dans cet espace culturel associatif, se côtoient des plasticiens, des musiciens, des comédiens, des chorégraphes à l'occasion d'expositions, de concerts de musiques improvisées, de lectures ou de créations spontanées. http://actal.org/",hetero,src-lieux #icon-503-FF8277
La Ferme de Chanteloup,,43.2403,1.0377,,,,"Elevage de vaches et de chèvres, production de fromages fermiers au lait cru. http://www.duboucheaoreille.fr/index.php?page=gilles-et-sophie-fourcade",hetero,src-lieux #icon-503-FF8277
Le Café Cochon Tigre,,44.4488,1.4425,,,,Café associatif https://fr-fr.facebook.com/lecochontigre?sk=page_map,hetero,src-lieux #icon-503-FF8277
Chez Namphaise,,44.6211,1.6427,,,,Café associatif http://www.cheznamphaise.com/,hetero,src-lieux #icon-503-FF8277
Le Pilou,,44.6976,2.0894,,,,Café Associatif- http://www.prendeignes.fr/spip.php?article106,hetero,src-lieux #icon-503-FF8277
Le Bar à Trucs,,43.4302,1.2231,,,,Bar associatif et petit commerce de proximité - http://www.baratrucs.fr/,hetero,src-lieux #icon-503-FF8277
La Gariotte,,44.5476,1.2626,,,,Café associatif - http://la-gariotte-cafe-associatif-de-pontcirq.association-club.mygaloo.fr/,hetero,src-lieux #icon-503-FF8277
Mécanicycle,,43.6047,1.4442,,,,Atelier de réparation itinérant de vélo à vélo; https://sites.google.com/site/mecanicycle31/home,hetero,src-lieux #icon-503-FF8277
Le banc sonore,,43.8219,1.7243,,,,Café restaurant culturel et solidaire- http://lebancsonore.com/,hetero,src-lieux #icon-503-FF8277
La Cheminée,,44.1789,1.6183,,,,"Pôle culturel en milieu rural, espace de rencontre, de création, d'expérimentation et d'échange autour des arts et de la culture, résidence d'artistes, accueil de séminaires et de groupes, stages- http://lacheminee.fr/",hetero,src-lieux #icon-503-FF8277
Le Lieu Dit,,43.9589,2.8858,,,,Café-restaurant-librairie associatif - www.assolieudit.fr,hetero,src-lieux #icon-503-FF8277
Le Fournil Marletta,,43.9509,2.4758,,,,"Gîtes ruraux et chambres d'hôtes, table paysanne - www.fournilmarietta.com/",hetero,src-lieux #icon-503-FF8277
La ressourcerie d'Aspet,,43.0145,0.8029,,,,"Espace non-marchand, échanges de vêtements, vaisselle, électroménager etc.. http://www.ladepeche.fr/article/2010/10/30/938235-aspet-un-lieu-pour-eviter-la-surconsommation.html",hetero,src-lieux #icon-503-FF8277
Espace culturel Mouneyra,,44.8314,-0.5868,,,,"café associatif, concerts, conférences, expos, bibliothèque, dojo. www.espace-mouneyra.com",hetero,src-lieux #icon-503-FF8277
La Recharge,,44.8373,-0.5713,,,,Epicerie de proximité sans aucun emballage jetable - http://www.la-recharge.fr/,hetero,src-lieux #icon-503-FF8277
Les Augustes,,45.7809,3.0836,,,,"Café-lecture, café-langues, café-philo, ateliers d'expression, débats de société...http://www.cafelesaugustes.fr/",hetero,src-lieux #icon-503-FF8277
Librairie Horizons,,45.8907,3.1129,,,,Librairie indépendante - librairiehorizons.blogspot.com/,hetero,src-lieux #icon-503-FF8277
Librairie Papageno,,45.78,3.0851,,,,"Librairie indépendante, animations diverses autour du livre et du voyage- papageno.hautetfort.com/",hetero,src-lieux #icon-503-FF8277
La Clef,,45.2922,3.3834,,,,"Café-lecture associatif, animations socioculturelles http://www.cafelecturebrioude.fr/",hetero,src-lieux #icon-503-FF8277
La Vache Carrée,,45.8845,3.1302,,,,Café-jeux- http://lavachecarree.blogspot.fr/,hetero,src-lieux #icon-503-FF8277
